# Kawahara, Maekawa & Ikeda (2009), 10th Int. Conf. on Stability of Ships and Ocean Vehicles
# (STAB 2009), Figure 1: (a) OG/d = -0.2, (b) OG/d = -1.5.
# Hull: L/B 6.0, B/d 4.0, C_B 0.65, C_M 0.98, phi_a 10 deg, b_BK/B 0.025, l_BK/L_pp 0.2.
# The SYMBOLS only: the original Ikeda method (total, eddy, bilge keel) and potential
# theory (wave) -- what the simplified formulas were fitted to. The figure's lines are
# the PREVIOUS (2008) simplified formula, which the paper replaces; not extracted.
# Extracted from the PDF's vector paths: marker centres from the path geometry, axes
# calibrated on the first and last tick marks (x 0.2..1.0; y 0..0.02 in (a), 0..0.07 in (b)).
# No reading by eye. Friction is not in the total (total = eddy + wave + bilge keel to
# the extraction's resolution).
panel,OG_d,component,w_hat,B44_hat
b,-1.5,eddy,0.7770,0.005508
b,-1.5,eddy,0.8631,0.006099
b,-1.5,eddy,0.9712,0.006886
b,-1.5,wave,0.2588,0.000019
b,-1.5,wave,0.2678,0.000019
b,-1.5,wave,0.2774,0.000019
b,-1.5,wave,0.2876,0.000019
b,-1.5,wave,0.2987,0.000019
b,-1.5,wave,0.3107,0.000019
b,-1.5,wave,0.3236,0.000295
b,-1.5,wave,0.3377,0.000373
b,-1.5,wave,0.3531,0.000472
b,-1.5,wave,0.3699,0.000570
b,-1.5,wave,0.3885,0.000708
b,-1.5,wave,0.4089,0.000944
b,-1.5,wave,0.4316,0.001200
b,-1.5,wave,0.4570,0.001633
b,-1.5,wave,0.4855,0.002302
b,-1.5,wave,0.5180,0.003167
b,-1.5,wave,0.5549,0.004348
b,-1.5,wave,0.5977,0.006020
b,-1.5,wave,0.6474,0.008519
b,-1.5,wave,0.7064,0.012394
b,-1.5,wave,0.7770,0.017352
b,-1.5,wave,0.8632,0.024671
b,-1.5,wave,0.9712,0.033328
b,-1.5,bilge_keel,0.2587,0.007240
b,-1.5,bilge_keel,0.2678,0.007495
b,-1.5,bilge_keel,0.2774,0.007751
b,-1.5,bilge_keel,0.2875,0.008027
b,-1.5,bilge_keel,0.2986,0.008361
b,-1.5,bilge_keel,0.3106,0.008696
b,-1.5,bilge_keel,0.3236,0.009050
b,-1.5,bilge_keel,0.3376,0.009443
b,-1.5,bilge_keel,0.3531,0.009876
b,-1.5,bilge_keel,0.3699,0.010348
