TITLE = " EFD_Roll_T-his_C2-5_2-11 "
VARIABLES = "t/Te","phi/(kA)"
ZONE T=" EFD_Roll_time_history_C2-5 ",I= 101 ,F=POINT
0.000000 -0.188985
0.010000 -0.196769
0.020000 -0.203063
0.030000 -0.207943
0.040000 -0.211529
0.050000 -0.213980
0.060000 -0.215483
0.070000 -0.216241
0.080000 -0.216462
0.090000 -0.216346
0.100000 -0.216075
0.110000 -0.215801
0.120000 -0.215639
0.130000 -0.215663
0.140000 -0.215900
0.150000 -0.216330
0.160000 -0.216892
0.170000 -0.217484
0.180000 -0.217977
0.190000 -0.218216
0.200000 -0.218039
0.210000 -0.217284
0.220000 -0.215801
0.230000 -0.213460
0.240000 -0.210165
0.250000 -0.205858
0.260000 -0.200522
0.270000 -0.194189
0.280000 -0.186933
0.290000 -0.178868
0.300000 -0.170147
0.310000 -0.160948
0.320000 -0.151468
0.330000 -0.141911
0.340000 -0.132476
0.350000 -0.123349
0.360000 -0.114691
0.370000 -0.106631
0.380000 -0.099257
0.390000 -0.092616
0.400000 -0.086707
0.410000 -0.081489
0.420000 -0.076879
0.430000 -0.072759
0.440000 -0.068986
0.450000 -0.065401
0.460000 -0.061835
0.470000 -0.058125
0.480000 -0.054120
0.490000 -0.049690
0.500000 -0.044735
0.510000 -0.039190
0.520000 -0.033029
0.530000 -0.026262
0.540000 -0.018941
0.550000 -0.011148
0.560000 -0.002995
0.570000 0.005384
0.580000 0.013840
0.590000 0.022220
0.600000 0.030375
0.610000 0.038165
0.620000 0.045466
0.630000 0.052178
0.640000 0.058226
0.650000 0.063559
0.660000 0.068155
0.670000 0.072012
0.680000 0.075149
0.690000 0.077597
0.700000 0.079393
0.710000 0.080575
0.720000 0.081175
0.730000 0.081211
0.740000 0.080685
0.750000 0.079580
0.760000 0.077856
0.770000 0.075455
0.780000 0.072298
0.790000 0.068297
0.800000 0.063356
0.810000 0.057377
0.820000 0.050276
0.830000 0.041983
0.840000 0.032454
0.850000 0.021679
0.860000 0.009686
0.870000 -0.003456
0.880000 -0.017634
0.890000 -0.032693
0.900000 -0.048436
0.910000 -0.064636
0.920000 -0.081039
0.930000 -0.097375
0.940000 -0.113369
0.950000 -0.128753
0.960000 -0.143278
0.970000 -0.156723
0.980000 -0.168904
0.990000 -0.179686
1.000000 -0.188985
