Title="CFD_Pitch_his_C3_Case2.10"
VARIABLES="t/Te" "Pitch"
ZONE T="CFD_Pitch_time_history_C3" F=POINT I=101
0.000  -6.381E-01
0.010  -6.139E-01
0.020  -5.876E-01
0.030  -5.591E-01
0.040  -5.287E-01
0.050  -4.964E-01
0.060  -4.622E-01
0.070  -4.264E-01
0.080  -3.890E-01
0.090  -3.502E-01
0.100  -3.100E-01
0.110  -2.685E-01
0.120  -2.260E-01
0.130  -1.826E-01
0.140  -1.383E-01
0.150  -9.347E-02
0.160  -4.815E-02
0.170  -2.522E-03
0.180  4.322E-02
0.190  8.892E-02
0.200  1.344E-01
0.210  1.794E-01
0.220  2.239E-01
0.230  2.676E-01
0.240  3.104E-01
0.250  3.521E-01
0.260  3.924E-01
0.270  4.314E-01
0.280  4.688E-01
0.290  5.044E-01
0.300  5.381E-01
0.310  5.699E-01
0.320  5.994E-01
0.330  6.267E-01
0.340  6.516E-01
0.350  6.740E-01
0.360  6.938E-01
0.370  7.109E-01
0.380  7.253E-01
0.390  7.367E-01
0.400  7.452E-01
0.410  7.508E-01
0.420  7.533E-01
0.430  7.528E-01
0.440  7.492E-01
0.450  7.425E-01
0.460  7.328E-01
0.470  7.200E-01
0.480  7.042E-01
0.490  6.855E-01
0.500  6.640E-01
0.510  6.396E-01
0.520  6.126E-01
0.530  5.830E-01
0.540  5.510E-01
0.550  5.167E-01
0.560  4.803E-01
0.570  4.418E-01
0.580  4.016E-01
0.590  3.597E-01
0.600  3.163E-01
0.610  2.717E-01
0.620  2.259E-01
0.630  1.793E-01
0.640  1.319E-01
0.650  8.402E-02
0.660  3.580E-02
0.670  -1.256E-02
0.680  -6.085E-02
0.690  -1.089E-01
0.700  -1.564E-01
0.710  -2.034E-01
0.720  -2.494E-01
0.730  -2.944E-01
0.740  -3.382E-01
0.750  -3.805E-01
0.760  -4.212E-01
0.770  -4.601E-01
0.780  -4.970E-01
0.790  -5.318E-01
0.800  -5.644E-01
0.810  -5.945E-01
0.820  -6.221E-01
0.830  -6.471E-01
0.840  -6.693E-01
0.850  -6.887E-01
0.860  -7.053E-01
0.870  -7.189E-01
0.880  -7.296E-01
0.890  -7.374E-01
0.900  -7.422E-01
0.910  -7.441E-01
0.920  -7.431E-01
0.930  -7.393E-01
0.940  -7.327E-01
0.950  -7.233E-01
0.960  -7.113E-01
0.970  -6.967E-01
0.980  -6.795E-01
0.990  -6.600E-01
1.000  -6.381E-01
