Title="CFD_Heave_his_C4_Case2.10"
VARIABLES="t/Te" "Heave"
ZONE T="CFD_Heave_time_history_C4" F=POINT I=101
0.000  -8.3955E-01
0.010  -8.0714E-01
0.020  -7.7208E-01
0.030  -7.3449E-01
0.040  -6.9455E-01
0.050  -6.5241E-01
0.060  -6.0826E-01
0.070  -5.6226E-01
0.080  -5.1461E-01
0.090  -4.6549E-01
0.100  -4.1510E-01
0.110  -3.6362E-01
0.120  -3.1125E-01
0.130  -2.5818E-01
0.140  -2.0460E-01
0.150  -1.5071E-01
0.160  -9.6704E-02
0.170  -4.2768E-02
0.180  1.0903E-02
0.190  6.4116E-02
0.200  1.1668E-01
0.210  1.6839E-01
0.220  2.1907E-01
0.230  2.6852E-01
0.240  3.1654E-01
0.250  3.6295E-01
0.260  4.0755E-01
0.270  4.5016E-01
0.280  4.9060E-01
0.290  5.2870E-01
0.300  5.6428E-01
0.310  5.9720E-01
0.320  6.2730E-01
0.330  6.5444E-01
0.340  6.7852E-01
0.350  6.9941E-01
0.360  7.1702E-01
0.370  7.3128E-01
0.380  7.4212E-01
0.390  7.4949E-01
0.400  7.5337E-01
0.410  7.5373E-01
0.420  7.5057E-01
0.430  7.4391E-01
0.440  7.3378E-01
0.450  7.2021E-01
0.460  7.0325E-01
0.470  6.8298E-01
0.480  6.5947E-01
0.490  6.3280E-01
0.500  6.0308E-01
0.510  5.7041E-01
0.520  5.3493E-01
0.530  4.9677E-01
0.540  4.5607E-01
0.550  4.1299E-01
0.560  3.6770E-01
0.570  3.2038E-01
0.580  2.7123E-01
0.590  2.2044E-01
0.600  1.6823E-01
0.610  1.1482E-01
0.620  6.0438E-02
0.630  5.3217E-03
0.640  -5.0291E-02
0.650  -1.0616E-01
0.660  -1.6204E-01
0.670  -2.1768E-01
0.680  -2.7286E-01
0.690  -3.2733E-01
0.700  -3.8086E-01
0.710  -4.3324E-01
0.720  -4.8426E-01
0.730  -5.3371E-01
0.740  -5.8140E-01
0.750  -6.2716E-01
0.760  -6.7083E-01
0.770  -7.1224E-01
0.780  -7.5125E-01
0.790  -7.8773E-01
0.800  -8.2156E-01
0.810  -8.5264E-01
0.820  -8.8085E-01
0.830  -9.0610E-01
0.840  -9.2832E-01
0.850  -9.4742E-01
0.860  -9.6335E-01
0.870  -9.7604E-01
0.880  -9.8544E-01
0.890  -9.9152E-01
0.900  -9.9424E-01
0.910  -9.9359E-01
0.920  -9.8956E-01
0.930  -9.8217E-01
0.940  -9.7142E-01
0.950  -9.5736E-01
0.960  -9.4003E-01
0.970  -9.1950E-01
0.980  -8.9584E-01
0.990  -8.6915E-01
1.000  -8.3955E-01
