Title="CFD_CT_his_C2_Case2.10"
VARIABLES="t/Te" "CT"
ZONE T="CFD_CT_time_history_C2" F=POINT I=101
0.000  5.926E-03
0.010  6.289E-03
0.020  6.645E-03
0.030  6.994E-03
0.040  7.334E-03
0.050  7.662E-03
0.060  7.979E-03
0.070  8.281E-03
0.080  8.569E-03
0.090  8.841E-03
0.100  9.096E-03
0.110  9.333E-03
0.120  9.551E-03
0.130  9.749E-03
0.140  9.927E-03
0.150  1.008E-02
0.160  1.022E-02
0.170  1.033E-02
0.180  1.042E-02
0.190  1.049E-02
0.200  1.053E-02
0.210  1.056E-02
0.220  1.055E-02
0.230  1.052E-02
0.240  1.047E-02
0.250  1.040E-02
0.260  1.030E-02
0.270  1.017E-02
0.280  1.002E-02
0.290  9.854E-03
0.300  9.661E-03
0.310  9.446E-03
0.320  9.212E-03
0.330  8.957E-03
0.340  8.685E-03
0.350  8.396E-03
0.360  8.092E-03
0.370  7.774E-03
0.380  7.444E-03
0.390  7.104E-03
0.400  6.755E-03
0.410  6.399E-03
0.420  6.038E-03
0.430  5.674E-03
0.440  5.307E-03
0.450  4.940E-03
0.460  4.573E-03
0.470  4.209E-03
0.480  3.849E-03
0.490  3.493E-03
0.500  3.143E-03
0.510  2.799E-03
0.520  2.464E-03
0.530  2.138E-03
0.540  1.822E-03
0.550  1.517E-03
0.560  1.223E-03
0.570  9.432E-04
0.580  6.770E-04
0.590  4.256E-04
0.600  1.900E-04
0.610  -2.874E-05
0.620  -2.298E-04
0.630  -4.124E-04
0.640  -5.757E-04
0.650  -7.190E-04
0.660  -8.416E-04
0.670  -9.431E-04
0.680  -1.023E-03
0.690  -1.081E-03
0.700  -1.117E-03
0.710  -1.131E-03
0.720  -1.122E-03
0.730  -1.092E-03
0.740  -1.040E-03
0.750  -9.665E-04
0.760  -8.721E-04
0.770  -7.572E-04
0.780  -6.223E-04
0.790  -4.680E-04
0.800  -2.948E-04
0.810  -1.034E-04
0.820  1.057E-04
0.830  3.317E-04
0.840  5.740E-04
0.850  8.319E-04
0.860  1.105E-03
0.870  1.392E-03
0.880  1.692E-03
0.890  2.004E-03
0.900  2.328E-03
0.910  2.663E-03
0.920  3.007E-03
0.930  3.359E-03
0.940  3.717E-03
0.950  4.081E-03
0.960  4.449E-03
0.970  4.819E-03
0.980  5.189E-03
0.990  5.559E-03
1.000  5.926E-03
