Title="EFD_Heave_his_C5_Case2.10"
VARIABLES="t/Te" "Heave"
ZONE T="EFD_Heave_time_history_C5" F=POINT I=101
0.000  -2.3359E-01
0.010  -1.7830E-01
0.020  -1.2273E-01
0.030  -6.7073E-02
0.040  -1.1497E-02
0.050  4.3814E-02
0.060  9.8680E-02
0.070  1.5292E-01
0.080  2.0634E-01
0.090  2.5878E-01
0.100  3.1003E-01
0.110  3.5991E-01
0.120  4.0824E-01
0.130  4.5484E-01
0.140  4.9952E-01
0.150  5.4210E-01
0.160  5.8240E-01
0.170  6.2025E-01
0.180  6.5548E-01
0.190  6.8793E-01
0.200  7.1745E-01
0.210  7.4390E-01
0.220  7.6714E-01
0.230  7.8705E-01
0.240  8.0353E-01
0.250  8.1649E-01
0.260  8.2584E-01
0.270  8.3153E-01
0.280  8.3350E-01
0.290  8.3172E-01
0.300  8.2618E-01
0.310  8.1689E-01
0.320  8.0385E-01
0.330  7.8711E-01
0.340  7.6672E-01
0.350  7.4274E-01
0.360  7.1526E-01
0.370  6.8438E-01
0.380  6.5022E-01
0.390  6.1290E-01
0.400  5.7257E-01
0.410  5.2938E-01
0.420  4.8352E-01
0.430  4.3515E-01
0.440  3.8448E-01
0.450  3.3172E-01
0.460  2.7708E-01
0.470  2.2079E-01
0.480  1.6310E-01
0.490  1.0424E-01
0.500  4.4470E-02
0.510  -1.5949E-02
0.520  -7.6758E-02
0.530  -1.3769E-01
0.540  -1.9847E-01
0.550  -2.5884E-01
0.560  -3.1854E-01
0.570  -3.7728E-01
0.580  -4.3483E-01
0.590  -4.9092E-01
0.600  -5.4531E-01
0.610  -5.9776E-01
0.620  -6.4805E-01
0.630  -6.9597E-01
0.640  -7.4130E-01
0.650  -7.8388E-01
0.660  -8.2351E-01
0.670  -8.6005E-01
0.680  -8.9336E-01
0.690  -9.2330E-01
0.700  -9.4978E-01
0.710  -9.7269E-01
0.720  -9.9198E-01
0.730  -1.0076E+00
0.740  -1.0194E+00
0.750  -1.0276E+00
0.760  -1.0319E+00
0.770  -1.0326E+00
0.780  -1.0295E+00
0.790  -1.0227E+00
0.800  -1.0124E+00
0.810  -9.9847E-01
0.820  -9.8111E-01
0.830  -9.6041E-01
0.840  -9.3646E-01
0.850  -9.0939E-01
0.860  -8.7934E-01
0.870  -8.4643E-01
0.880  -8.1083E-01
0.890  -7.7268E-01
0.900  -7.3215E-01
0.910  -6.8940E-01
0.920  -6.4461E-01
0.930  -5.9794E-01
0.940  -5.4957E-01
0.950  -4.9967E-01
0.960  -4.4843E-01
0.970  -3.9603E-01
0.980  -3.4263E-01
0.990  -2.8843E-01
1.000  -2.3359E-01
