TITLE = " EFD_Pitch_T-his_C2-2_2-11 "
VARIABLES = "t/Te","theta/(kA)"
ZONE T=" EFD_Pitch_time_history_C2-2 ",I= 101 ,F=POINT
0.000000 -0.382941
0.010000 -0.358558
0.020000 -0.332955
0.030000 -0.306226
0.040000 -0.278469
0.050000 -0.249779
0.060000 -0.220254
0.070000 -0.189991
0.080000 -0.159088
0.090000 -0.127641
0.100000 -0.095751
0.110000 -0.063514
0.120000 -0.031028
0.130000 0.001607
0.140000 0.034292
0.150000 0.066928
0.160000 0.099414
0.170000 0.131651
0.180000 0.163536
0.190000 0.194968
0.200000 0.225843
0.210000 0.256060
0.220000 0.285514
0.230000 0.314101
0.240000 0.341718
0.250000 0.368260
0.260000 0.393625
0.270000 0.417711
0.280000 0.440416
0.290000 0.461641
0.300000 0.481290
0.310000 0.499268
0.320000 0.515487
0.330000 0.529860
0.340000 0.542305
0.350000 0.552749
0.360000 0.561121
0.370000 0.567360
0.380000 0.571412
0.390000 0.573232
0.400000 0.572781
0.410000 0.570035
0.420000 0.564975
0.430000 0.557597
0.440000 0.547904
0.450000 0.535915
0.460000 0.521658
0.470000 0.505173
0.480000 0.486513
0.490000 0.465743
0.500000 0.442939
0.510000 0.418191
0.520000 0.391597
0.530000 0.363268
0.540000 0.333327
0.550000 0.301903
0.560000 0.269138
0.570000 0.235178
0.580000 0.200182
0.590000 0.164310
0.600000 0.127730
0.610000 0.090615
0.620000 0.053140
0.630000 0.015483
0.640000 -0.022180
0.650000 -0.059668
0.660000 -0.096807
0.670000 -0.133420
0.680000 -0.169340
0.690000 -0.204399
0.700000 -0.238438
0.710000 -0.271303
0.720000 -0.302850
0.730000 -0.332942
0.740000 -0.361451
0.750000 -0.388258
0.760000 -0.413258
0.770000 -0.436353
0.780000 -0.457458
0.790000 -0.476499
0.800000 -0.493414
0.810000 -0.508152
0.820000 -0.520675
0.830000 -0.530954
0.840000 -0.538974
0.850000 -0.544728
0.860000 -0.548223
0.870000 -0.549473
0.880000 -0.548502
0.890000 -0.545344
0.900000 -0.540041
0.910000 -0.532643
0.920000 -0.523205
0.930000 -0.511793
0.940000 -0.498473
0.950000 -0.483321
0.960000 -0.466415
0.970000 -0.447837
0.980000 -0.427672
0.990000 -0.406010
1.000000 -0.382941
